f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,label
-1.625787,0.906424,-0.693229,0,-0.159125,-0.746865,-0.213352,1.061981,-0.669331,0.832163,-0.064579,-0.551445,-0.820838,0.935735,0.069662,-2.222528,-2.219726,2.304652,-2.122693,-2.143629,2.38793,2.623674,3.219868,-2.692974,-1.812626,0.679105,0.527271,2.225626,0.286341,-2.131992,-0.823903,-0.142011,0,0.544558,0.592254,-0.028136,-0.389298,2.189521,1.405822,-2.143409,0.546609,0.637741,1.794868,1.118672,-0.279537,0.229061,-0.998332,2.019094,0.236794,-1.995358,-0.84832,-0.953202,1.835674,1.559798,-0.649909,0.422306,0.184725,2.204917,0.739126,-2.128014,-0.86667,-0.024219,1.978972,1.896033,-0.952123,happy
0.70853,0.906424,-0.693229,0,0.271399,-0.613955,0.213069,1.604453,-1.395819,0.532713,0.296486,-1.01437,-0.937066,0.658085,-0.273791,-2.222528,-2.219726,2.259267,-0.795629,-2.143629,2.147349,2.240405,2.63503,-1.254042,-1.551146,0.618156,0.527271,2.220926,0.045033,-2.131992,-1.004351,-0.368111,0,0.495387,-0.077221,-0.101647,-0.389298,2.178883,1.152418,-2.143409,0.622591,0.831564,2.090191,-0.857444,-0.740054,0.229061,-0.998332,2.019094,0.236794,-1.995358,0.022502,0.147747,2.046241,-0.629459,-0.475293,0.384001,0.184725,2.200227,0.600782,-2.128014,-0.173169,0.420355,2.041504,-0.79742,-0.63175,happy
0.9666,0.800416,-0.035626,0,1.26892,1.053587,0.90753,1.2903,-0.241843,-1.889636,-0.053337,-1.490071,-1.560474,1.2675,0.209514,-2.222528,-2.219726,2.190991,0.389992,-2.143629,1.873648,1.823409,2.166869,0.871657,-1.235149,0.713415,0.527271,2.227743,0.421368,-2.131992,-0.751587,-0.291529,0,0.739522,-0.727753,0.804915,0.713846,2.238256,-0.067918,-2.143409,1.009012,1.123438,1.846845,-0.214679,1.35185,0.229061,-0.998332,2.019094,0.236794,-1.995358,0.473242,0.43747,1.836704,-0.309692,0.877886,0.710259,0.771673,2.231801,-0.574104,-2.128014,0.754471,0.696398,1.834696,-0.33794,1.252987,happy
1.816076,0.694408,0.227415,0,1.207015,0.866766,0.70872,1.377851,-0.679892,-1.788463,0.290404,-0.322207,-0.472152,0.543623,-0.097511,-2.222528,-2.219726,2.132404,0.262416,-2.143629,1.605167,1.473868,2.533024,2.104284,-1.989594,0.296935,0.304829,2.190086,-0.241972,-2.131992,-0.79174,0.011153,0,-0.304055,1.485249,-0.420176,-0.389298,2.120032,0.021794,-2.143409,1.033174,1.237451,2.246121,-1.429765,-0.057363,0.229061,-0.998332,2.019094,0.236794,-1.995358,0.674578,0.690978,1.921278,-0.784208,0.738567,0.128514,0.184725,2.172684,-0.331118,-2.128014,0.668395,0.728361,2.041487,-1.04263,0.186549,happy
1.647314,0.800416,-0.561708,0,1.308315,-0.295822,0.918174,1.63707,-0.946813,-0.324904,0.215884,-1.214325,-1.497076,1.546103,-0.532351,-2.222528,-2.219726,2.088984,0.169752,-2.143629,1.925845,1.936856,2.338532,-0.114417,-1.485508,0.675311,0.527271,2.22413,0.270436,-2.131992,-0.510741,0.313835,0,-0.380465,1.205244,0.804915,0.713846,2.238256,-0.067918,-2.143409,1.037726,1.269375,2.146179,-1.901358,0.228559,0.229061,-0.998332,2.019094,0.236794,-1.995358,0.649437,0.893785,2.201822,-1.751938,-0.339111,0.856615,0.771673,2.238875,-0.054172,-2.128014,0.717699,0.748701,2.085535,-1.054845,0.09256,happy
1.943806,1.226216,-0.298667,0,1.26892,1.08284,1.199151,1.357251,-0.09267,-1.549482,-0.340827,-0.335915,-0.598947,0.747081,0.353302,-2.222528,-2.219726,2.070322,-0.478195,-2.143629,1.304115,1.243906,2.064105,1.223066,-1.675585,0.3916,0.280113,2.226306,0.269586,-2.131992,-0.679221,0.131496,0,-0.32899,1.3443,0.794501,0.713846,2.264397,-0.085371,-2.143409,0.988096,1.121158,1.89051,-0.462676,1.0859,0.213208,-0.998332,2.043011,0.219444,-1.995358,0.694693,0.575089,1.894369,-0.051982,0.977657,0.629137,0.771673,2.252811,-0.838765,-2.128014,0.783815,0.728361,2.023817,-0.540149,0.451269,happy
1.663233,0.800416,-0.035626,0,1.415242,2.177919,1.409977,1.594153,-0.519167,-2.621952,-0.4506,-0.605991,-0.699326,0.636401,0.523118,-2.222528,-2.219726,2.172091,-0.373981,-2.143629,1.834904,1.780483,1.802303,0.996238,-0.220521,0.554801,0.527271,2.239104,-0.186258,-2.131992,-1.082332,-0.368111,0,0.093523,0.314464,0.794501,0.713846,2.264397,-0.085371,-2.143409,1.121519,1.239731,1.919762,-0.478601,1.623075,0.213208,-0.998332,2.043011,0.219444,-1.995358,0.682056,0.55336,1.868301,0.006374,1.100542,0.846208,0.771673,2.265022,-0.072418,-2.128014,0.894809,0.731267,1.879202,-0.133336,1.30457,happy
2.32166,0.482391,-0.167147,0,0.580926,0.024041,1.081307,1.714321,-0.899185,0.381623,-0.360238,-1.253154,-1.634437,1.663796,0.161594,-2.222528,-2.219726,2.283965,-0.881642,-2.143629,2.033456,2.050304,2.158937,-0.298398,-0.723297,0.772778,0.774429,2.317523,-0.365054,-2.131992,-1.17017,-0.404578,0,-0.180585,1.502079,0.772342,0.713846,2.319179,-0.121784,-2.143409,1.096696,1.269375,2.242705,-1.100513,0.285134,0.17948,-0.998332,2.093131,0.183246,-1.995358,0.785276,0.980702,2.279475,-1.57283,-0.295293,0.824067,0.771673,2.319816,-0.110482,-2.128014,0.884952,0.801004,2.224526,-0.899774,-0.023245,happy
-0.421677,0.455889,0.465075,0,0.618913,0.614047,0.794745,1.419051,-0.660782,-1.390089,-1.127524,-1.010423,-0.820838,0.428615,0.764526,-2.222528,-2.219726,2.149518,0.849262,-2.143629,1.588308,1.522926,2.459259,1.154087,-1.964221,0.736826,0.551987,2.229957,0.403732,-2.131992,2.02839,3.048909,0,-1.199745,1.683191,0.804915,0.713846,2.238256,-0.067918,-2.143409,0.82398,1.013985,1.930623,-1.028987,0.18107,0.229061,-0.998332,2.019094,0.236794,-1.995358,0.681814,0.575089,1.852005,-0.124376,1.121293,0.734199,0.771673,2.232576,-0.489162,-2.128014,0.755123,0.690587,1.853112,-0.245028,1.148764,happy
1.950073,0.588399,0.095895,0,1.550309,1.808953,1.894444,1.964957,-0.998731,-2.671039,0.039706,-0.259048,-0.620079,0.891498,-0.072546,-2.222528,-2.219726,2.173898,0.135641,-2.143629,1.701456,1.584249,2.036772,2.111372,-1.251769,0.477602,0.304829,2.259553,0.514734,-2.131992,2.025686,3.048909,0,-1.209699,1.58387,-0.439509,-0.389298,2.170976,-0.011697,-2.143409,1.015091,1.153081,1.938034,-0.5772,1.052567,0.196682,-0.998332,2.067725,0.201645,-1.995358,0.392654,0.285366,1.939189,0.213108,0.395129,0.197679,0.184725,2.22837,-0.04283,-2.128014,0.781843,0.734172,2.021767,-0.625641,0.509465,happy
