1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
21.8215,0,-3.27,88.81,21.61,-1.7757,428.438,468,-0.104911,377.106,-1.02339,520.24,531,-0.0335661,320.561,945.135,955,134.323,-0.0734452,50.6548,899.5,900,132.974,-0.00376015,42.8326,969.385,990,137.094,-0.150374,51.7263,980.788,1000,138.536,-0.138675,52.0005,979.904,1000,138.555,-0.145041,51.7714,821.404,866,141.814,-0.31447,21.8373,980.788,1000,138.536,-0.138675,52.0005,823.904,859,131.822,-0.266239,30.471,965.115,976,136.865,-0.0795283,51.1286,763.519,801.5,135.104,-0.281122,19.7212,2
19.3947,0,-2.18,88.67,20.2,-1.65359,382.675,307,0.195272,387.537,-0.979862,567.784,614,-0.142028,325.4,952.904,965,135.045,-0.0895714,51.2675,942.692,964,135.988,-0.156688,47.5427,962.308,990,136.711,-0.202561,50.7406,980.788,1000,138.536,-0.138675,52.0005,970.173,1000,138.415,-0.215489,49.8336,782.75,830,159.895,-0.295507,10.067,980.788,1000,138.536,-0.138675,52.0005,773.904,801.5,151.248,-0.182456,12.5876,961.635,976,137.078,-0.104797,50.0176,734.346,750,145.821,-0.107349,11.952,2
22.72,0,-2.29,88.78,23.06,-1.76361,433.575,523.5,-0.238625,376.847,-1.0405,531.828,529,0.00885137,319.499,960.471,982,137.908,-0.156114,49.6497,935.255,966,142.057,-0.216428,39.0383,971.49,990,138.838,-0.13332,50.6519,980.412,1000,139.885,-0.140031,51.0039,979.51,1000,139.904,-0.146459,50.7754,879.804,905,131.63,-0.191416,41.6545,980.412,1000,139.885,-0.140031,51.0039,812.118,813,135.003,-0.0065358,26.5965,958.784,976,137.033,-0.125632,50.6321,804.235,796,136.718,0.0602354,24.1944,2
24.1659,-2.29,0,87.88,27.9,-1.59167,526.888,679.5,-0.402492,379.169,-0.940151,472.98,411,0.197052,314.536,909.154,923,130.268,-0.10629,48.927,914.788,943,135.597,-0.208054,42.3375,976.25,1000,138.033,-0.17206,51.7794,980.788,1000,138.536,-0.138675,52.0005,977.25,1000,138.587,-0.164157,51.1282,904.404,920.5,135.091,-0.119151,40.9663,980.788,1000,138.536,-0.138675,52.0005,863.827,870.5,130.516,-0.0511286,39.052,978.942,1000,138.424,-0.152124,51.7632,851.365,854,130.278,-0.020223,37.0018,2
22.6042,-1.72,1.72,87.56,26.11,-1.7467,469.012,497,-0.0689067,406.165,-0.998126,514.432,479,0.110445,320.811,959.907,981,149.898,-0.140716,42.774,921.744,941,147.717,-0.130356,38.2497,960.744,981,149.926,-0.135105,42.8994,976.767,1000,152.344,-0.152501,43.003,976.767,1000,152.344,-0.152501,43.003,902.093,944,161.512,-0.259467,23.5856,976.767,1000,152.344,-0.152501,43.003,896.256,950,158.133,-0.339866,25.1372,955,976,149.076,-0.140868,42.8417,908.767,946,157.29,-0.236713,27.3378,2
20.317,-1.81,0.6,88.73,25.6,-1.82231,440.45,444.5,-0.0100029,404.883,-0.971524,475.184,435,0.1247,322.244,946.509,964,133.202,-0.131308,51.6164,888.094,893,141.759,-0.0346057,30.0612,961.415,980,134.814,-0.137856,52.4132,981.151,1000,137.222,-0.137362,53.0018,980.226,1000,137.255,-0.144064,52.7362,762.943,768,137.734,-0.0367128,17.9362,981.151,1000,137.222,-0.137362,53.0018,750.472,758,139.619,-0.0539204,15.5946,970.792,1000,136.415,-0.214108,51.9508,738.057,729,135.614,0.0667823,16.873,2
18.6602,-7.2,6.84,-90,25.17,-1.38874,370.35,333.5,0.102209,360.535,-1.02785,514.216,527.5,-0.0411496,322.822,930.769,946,132.648,-0.114821,50.0614,742.288,723,141.57,0.136247,14.3762,951.038,971,135.608,-0.1472,49.9515,980.788,1000,138.536,-0.138675,52.0005,940.981,954,135.272,-0.0962447,48.2507,706.981,717,147.303,-0.0680176,10.0017,980.788,1000,138.536,-0.138675,52.0005,742.731,791.5,164.63,-0.296235,7.08202,953.558,976,136.299,-0.164655,49.4379,771.962,793,146.677,-0.143434,14.4091,2
18.3027,-7.59,8.22,88.09,25.29,-1.33062,350.05,295.5,0.148787,366.63,-1.25887,531.652,603,-0.202403,352.505,937.08,964,138.516,-0.194346,44.9291,611.94,556,189.086,0.295844,1.81153,902.18,906,133.486,-0.0286173,44.751,980.02,1000,141.279,-0.141422,50.0011,899.06,908,132.877,-0.0672801,44.966,589.08,596,179.29,-0.0385968,2.15284,980.02,1000,141.279,-0.141422,50.0011,698.46,724,151.737,-0.168317,8.77422,903.7,904,133.697,-0.00224388,44.7721,772.88,817,151.144,-0.291907,13.0731,2
28.2311,6.42,-7.59,87.04,31.61,-1.07299,613.12,794,-0.492835,367.02,-0.736411,328.024,217,0.305436,363.494,958.212,980,136.23,-0.159939,50.5805,933.538,958,133.566,-0.183141,49.2329,906.423,920,130.763,-0.103829,47.5454,567.327,500,198.684,0.338864,2.25205,907.75,943,133.198,-0.264644,44.2136,929.904,951,136.197,-0.154894,44.5602,489.827,445,178.926,0.250533,5.33717,867.423,879,128.013,-0.0904355,43.1693,916.577,940,132.082,-0.177337,47.7602,912.942,926,133.115,-0.0980931,45.4232,3
29.33,7.83,-9.09,87.92,29.18,-1.16055,603.747,752,-0.388893,381.219,-0.820415,327.892,190,0.373188,369.498,949.635,971,135.017,-0.158242,50.5679,870.481,884,128.199,-0.105455,43.5804,894.769,908,129.968,-0.1018,46.1844,346.808,334,113.483,0.11286,24.324,884.038,887,129.195,-0.022923,45.014,924.827,968,144.948,-0.297852,33.361,479.154,445,163.812,0.208494,7.43512,889.635,900,133.092,-0.0778814,40.7125,895.058,911,130.376,-0.12228,45.633,903.442,923,132.068,-0.148088,44.9216,3
