f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,label
33.7551,-2.41,2.29,0,38.59,-1.39024,585.33,704.5,-0.350488,340.013,-0.810762,445.224,388,0.197089,290.346,0,0,127.699,-0.101802,0,759.385,776,146.98,-0.113045,13.1762,972.904,990,137.506,-0.12433,0,259.635,250,0,0.0874083,42.3791,980.788,1000,138.536,-0.138675,0,919.962,987,151.912,-0.441299,26.5329,980.788,0,138.536,-0.138675,0,910.731,976,153.626,-0.424857,24.139,980.788,1000,138.536,-0.138675,0,921.519,970,148.725,-0.325976,29.4387,happy
35.8224,0,3.43,0,38.31,-0.417262,620.148,623,-0.00969221,294.285,-1.06946,494.18,473,0.0659455,321.174,0,0,126.759,-0.142775,0,560.098,550,132.482,0.076222,10.6464,962.882,980,137.618,-0.124386,0,211.784,200,0,0.101613,45.1784,980.412,1000,139.885,-0.140031,0,900.882,922,136.87,-0.15429,39.0457,980.412,0,139.885,-0.140031,0,915.784,932,135.722,-0.119477,43.4106,972.569,1000,139.255,-0.196987,0,929.333,963,145.082,-0.232052,34.8684,happy
33.8661,-2.41,4.57,0,39.35,0.35558,646.273,692,-0.179861,254.237,-1.12047,479.128,463.5,0.0477796,327.085,0,0,131.885,-0.136185,0,730.235,725,118.651,0.0441236,30.0123,968.647,990,138.277,-0.154422,0,97.2941,63,0,0.218207,24.4471,980.412,1000,139.885,-0.140031,0,952.176,974,138.591,-0.157467,46.8857,980.412,0,139.885,-0.140031,0,914.373,929,134.204,-0.108994,45.2091,980.412,1000,139.885,-0.140031,0,942.451,964,136.546,-0.157815,47.7846,happy
38.457,-4.21,4,0,33.42,-1.1645,605.545,727,-0.331485,366.396,-1.07848,443.06,375,0.216406,314.501,0,0,137.52,-0.168287,0,793.878,813,137.492,-0.13908,23.3207,976.347,1000,142.315,-0.166203,0,72.3469,53,0,0.142566,48.3546,979.612,1000,142.712,-0.14286,0,942.633,987,157.591,-0.281535,27.3586,979.612,0,142.712,-0.14286,0,925.898,988,158.148,-0.392682,24.7803,979.612,1000,142.712,-0.14286,0,941.286,988,156.929,-0.297678,27.6858,happy
19.329,-4.36,6.74,0,33.69,-0.748108,570.035,641,-0.236364,300.237,-1.43503,456.588,452,0.0136756,335.488,0,0,130.748,-0.0588331,0,651.192,641,153.358,0.0664608,6.80485,975.077,991,137.806,-0.115547,0,980.788,1000,0,-0.138675,52.0005,980.788,1000,138.536,-0.138675,0,837.788,875,139.23,-0.267266,25.8398,980.788,0,138.536,-0.138675,0,914.346,932,133.255,-0.132482,45.5128,976.365,1000,138.211,-0.171004,0,925.942,950,135.006,-0.178197,45.4262,happy
35.8661,-3.61,5.14,0,40.31,0.095186,706.307,800,-0.371203,252.404,-0.89263,498.464,471,0.0896487,306.351,0,0,131.976,-0.103959,0,687.46,661,131.038,0.201926,16.2871,965.92,981,139.33,-0.108233,0,980.02,1000,0,-0.141422,50.0011,935.86,954,135.064,-0.134307,0,911.26,936,139.666,-0.177137,38.5592,980.02,0,141.279,-0.141422,0,882.06,892,138.332,-0.0718563,34.885,956.98,976,137.994,-0.137832,0,929.1,965,144.961,-0.247653,35.7493,happy
21.651,-15.44,12.8,0,37.29,-1.13689,558.306,541,0.0543433,318.459,-0.643111,583.356,617,-0.117594,286.104,0,0,137.531,-0.139006,0,899.784,905,137.949,-0.0378087,37.5049,969.824,991,138.444,-0.15296,0,235.314,200,0,0.269894,23.6965,940.882,958,134.494,-0.127275,0,914.118,924,133.788,-0.0738658,45.7597,980.412,0,139.885,-0.140031,0,922.176,945,136.675,-0.166992,43.3656,959.706,978,136.996,-0.133538,0,920.706,943,134.945,-0.165209,45.4802,happy
22.5504,-14.93,12.31,0,36.37,-1.2089,554.143,553,0.00344525,331.719,-0.688114,597.964,655,-0.192774,295.87,0,0,139.331,-0.125887,0,917.5,926,135.927,-0.0625337,44.5031,971.74,991,140.134,-0.13744,0,980.02,1000,0,-0.141422,50.0011,980.02,1000,141.279,-0.141422,0,892.3,909,131.306,-0.127184,45.8066,980.02,0,141.279,-0.141422,0,940.26,965,139.261,-0.177652,44.5518,980.02,1000,141.279,-0.141422,0,950.4,976,139.139,-0.183988,46.8154,happy
22.6584,-10.78,10.3,0,32.84,-1.22234,551.989,569,-0.0493225,344.898,-0.558026,583.724,630,-0.162472,284.824,0,0,136.654,-0.157403,0,856.294,854,131.538,0.0174407,37.1984,961.157,982,137.554,-0.151527,0,497.235,334,0,0.696807,-0.0888865,980.412,1000,139.885,-0.140031,0,904.804,934,145.97,-0.200014,30.5263,980.412,0,139.885,-0.140031,0,906.176,948,146.728,-0.285041,29.6423,967.333,977,138.485,-0.069803,0,906.176,948,146.728,-0.285041,29.6423,happy
20.4058,-17.74,9.2,0,28.92,-1.54914,457.732,437,0.0587723,352.75,-1.04957,517.952,612,-0.31237,301.079,0,0,134.672,-0.118662,0,871.078,864,133.429,0.0530503,37.6666,966.412,981,137.987,-0.105722,0,403.412,429,0,-0.100396,-1.1257,980.412,1000,139.885,-0.140031,0,841.118,857,138.989,-0.114271,27.1151,980.412,0,139.885,-0.140031,0,862.902,885,133.486,-0.165546,36.0862,978.529,1000,139.767,-0.153617,0,864.02,887,134.957,-0.170279,34.614,happy
