,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
terkejut,31.4921,-3.81,0,89.14,32.3,-1.64417,443.207,637,-0.532488,363.939,-1.09826,461.648,414,0.15518,307.051,897.426,907,137.403,-0.0696815,41.6907,890.872,902,137.898,-0.0806947,39.778,957.404,974,143.063,-0.116003,46.2694,86.3191,77,140.95,0.0661166,40.5493,940.319,958,140.374,-0.125956,46.4589,729.617,696,161.989,0.207526,8.21848,978.745,1000,145.716,-0.145868,47.0038,759.191,731,153.58,0.183562,12.5206,952.064,978,142.273,-0.182299,46.2572,753.128,727,161.209,0.162073,9.73264,3
jijik,20.9901,-14.62,13.13,-88.81,32.56,-1.40858,453.04,421,0.0949165,337.556,-0.125472,639.064,649,-0.0458993,216.474,919.327,930,136.719,-0.0780688,44.8753,888.204,892,140.419,-0.0270327,34.5196,975.694,1000,142.44,-0.170641,48.5659,413.429,313,360.682,0.278441,-1.73954,979.612,1000,142.712,-0.14286,49.0035,836.408,867,146.483,-0.208842,22.0982,979.612,1000,142.712,-0.14286,49.0035,885.224,904,137.458,-0.136591,37.2791,977.041,1000,142.508,-0.161108,48.7537,879.469,891,136.159,-0.0846848,37.763,4
jijik,17.9627,-14.15,10.39,-90,28.07,-1.49251,425.644,462,-0.103113,352.587,-0.492162,597.744,660,-0.226803,274.494,911.843,924,132.582,-0.0916935,47.0626,910.529,920,133.81,-0.0707766,44.9792,973.824,1000,139.427,-0.187743,50.2574,339.431,308,263.28,0.119384,-0.784586,977.196,1000,139.872,-0.163035,50.3174,775.882,769,147.048,0.0468034,14.8966,980.412,1000,139.885,-0.140031,51.0039,887.863,892,134.03,-0.0308682,40.0904,976.784,1000,139.831,-0.166027,50.2894,884.196,910,134.257,-0.192198,39.0923,4
jijik,28.3437,-13.3,4.97,89.17,34.26,-1.54814,405.948,338,0.199726,340.208,-0.833574,541.612,585,-0.148854,291.481,864.396,867,136.974,-0.0190121,35.0914,863.833,861,137.365,0.0206263,34.542,966.146,991,142.607,-0.174284,47.5187,266.688,200,215.669,0.309212,7.46808,978.313,1000,144.19,-0.150409,47.8211,905.563,943,150.695,-0.248433,28.4497,979.188,1000,144.193,-0.144338,48.0009,901.875,947,148.434,-0.304007,29.6857,964.542,978,142.613,-0.0943699,47.1758,896.896,938,151.133,-0.271973,26.7647,4
jijik,17.4787,-12.26,8.9,88.7,28.12,-1.66114,459.168,493,-0.0883514,382.922,-0.553607,505.064,558,-0.197826,267.589,847.712,841.5,130.204,0.0477062,36.4062,886.577,892,133.025,-0.0407675,40.207,963.558,984,136.696,-0.149546,51.0455,346.192,91,308.571,0.827013,-0.89933,976.846,1000,138.516,-0.167156,51.1495,764.635,772,143.054,-0.0514868,15.3808,980.788,1000,138.536,-0.138675,52.0005,849.923,865,131.626,-0.114543,35.0861,968.365,979,137.456,-0.0773674,50.9231,857.385,881,133.042,-0.177504,34.7782,4
jijik,23.8277,-7.92,7.13,-89.09,33.24,-1.60717,430.495,442,-0.0318553,361.163,-0.782658,573.94,636,-0.233823,265.415,910.923,916,132.936,-0.0381908,45.2608,832.365,814,140.727,0.130504,24.0795,978.481,1000,138.321,-0.155574,51.8232,281.942,72,295.469,0.710539,-0.290304,980.788,1000,138.536,-0.138675,52.0005,849.5,911,157.658,-0.390085,15.7108,980.788,1000,138.536,-0.138675,52.0005,907.904,938,143.509,-0.209716,32.0746,979.981,1000,138.479,-0.144565,51.909,904.135,938,143.456,-0.236067,31.5471,4
jijik,28.9466,-11.81,3.48,89.18,33.58,-1.58953,382.259,218,0.449896,365.103,-1.11995,511.068,545,-0.110908,305.947,889.854,901,134.766,-0.0827048,42.5795,939.25,957,140.02,-0.126767,45.5449,971.146,991,143.291,-0.138558,47.5965,279.063,154,330.249,0.378692,0.364362,977.438,1000,144.184,-0.156484,47.6473,844.646,910.5,165.737,-0.397342,13.3605,979.188,1000,144.193,-0.144338,48.0009,866.875,936,158.269,-0.436757,18.6479,972.354,1000,143.684,-0.192408,47.2948,862.833,937,163.482,-0.45367,15.7239,4
jijik,20.7742,-10.83,10.39,-88.92,32.22,-1.42137,459.614,441,0.0540704,344.253,0.106542,603.548,651,-0.22291,212.875,934.269,950,133.518,-0.117818,49.4748,812.077,801,142.354,0.0778126,20.6107,979.25,1000,138.39,-0.149939,51.8874,125.442,63,224.646,0.277959,11.0276,980.788,1000,138.536,-0.138675,52.0005,736.038,697,148.427,0.263014,11.5299,980.788,1000,138.536,-0.138675,52.0005,892.135,903,129.861,-0.0836695,45.7597,980.385,1000,138.507,-0.14162,51.9557,901.558,914,131.004,-0.0949767,46.0995,4
jijik,28.6001,-12.8,5.19,89.17,35.44,-1.49027,396.784,315.5,0.241972,335.924,-0.731871,565.452,634,-0.230999,296.745,837.043,843,137.052,-0.0434616,32.1657,899.022,913,140.856,-0.0992377,38.7845,962.978,991,145.676,-0.192357,45.0778,111.043,44,206.965,0.323936,10.712,975.543,1000,147.254,-0.166084,45.5042,877.326,905,138.411,-0.19994,37.6318,978.283,1000,147.292,-0.147444,46.003,870.891,910,150.274,-0.260249,25.5654,969.739,1000,147.036,-0.205806,44.638,879.391,905,143.497,-0.178462,32.5148,4
jijik,17.9084,-11.31,3.98,88.75,24.96,-1.53918,363.698,206.5,0.441193,356.303,-0.983879,505.948,528,-0.0748504,294.614,893.383,905,137.015,-0.0847862,41.3928,897.404,901,138.661,-0.0259319,40.0938,964.34,991,144.074,-0.185041,46.3054,171.936,40,298.728,0.44166,2.63398,974.277,1000,145.639,-0.176625,46.1981,908.064,929,142.095,-0.147339,37.964,978.745,1000,145.716,-0.145868,47.0038,900.277,946,153.777,-0.297335,25.9278,964.809,978,144.508,-0.0912856,45.8092,912.128,962,150.14,-0.332173,30.4656,4
jijik,28.4269,-11.31,4.97,-89.1,32.99,-1.48973,345.69,172,0.480866,361.202,-1.09394,531.372,551,-0.0653042,300.562,866.083,866,136.627,0.000609935,35.769,915.708,924,139.242,-0.0595488,41.8419,961.375,991,142.679,-0.207633,46.4239,166.292,39,251.692,0.505743,4.6799,936.583,959,138.762,-0.161547,46.7604,876.604,942,167.713,-0.389927,15.2219,979.188,1000,144.193,-0.144338,48.0009,885.75,950.5,155.848,-0.41547,22.0931,953.375,979,141.549,-0.181033,46.343,879.458,955.5,162.54,-0.467835,17.7146,4
marah,22.9005,-14.42,6.23,-89.05,33.45,-1.38481,484.112,522,-0.116336,325.677,-0.817056,559.772,625,-0.227742,286.412,956.271,975,141.206,-0.132637,47.4363,902.104,916,135.073,-0.102876,44.6999,963.75,991,142.248,-0.191567,47.5268,669.313,733,270.952,-0.235051,1.43514,959.938,1000,142.899,-0.280354,45.8262,864.771,876,133.797,-0.0839266,38.8496,979.188,1000,144.193,-0.144338,48.0009,895.667,905,134.703,-0.0692884,43.8653,968.188,1000,143.139,-0.22225,47.1947,865.333,873,131.583,-0.0582649,41.8549,5
marah,22.7484,-8.9,7.13,-89.01,31.53,-1.29127,472.614,559,-0.271634,318.025,-1.08368,569.864,634,-0.220061,291.447,918.115,931.5,131.266,-0.101966,49.382,901.577,907,129.908,-0.0417454,47.7767,972.942,1000,138.527,-0.195325,50.2694,552.904,750,335.145,-0.588093,-1.6017,976.058,1000,138.498,-0.172872,51.0029,904.865,941,140.277,-0.257595,34.905,980.788,1000,138.536,-0.138675,52.0005,911.135,964,142.82,-0.370155,33.2577,975.25,1000,138.658,-0.178496,50.574,919.5,963,139.571,-0.311669,38.2257,5
